Date,Total Value ($)
2025-04-22,178.5875377693853
2025-04-22,179.11757765302943
2025-04-28,227.21640867431623
2025-05-05,227.4538561527288
2025-05-12,312.76450890474473
2025-05-19,296.4875237308305
2025-05-26,404.996642649112
2025-06-02,386.6126839168232
2025-06-09,399.38519126704944
2025-06-16,412.8067592949961
2025-06-23,349.55653116437543
2025-06-30,360.52701459783043
2025-07-07,358.9212291699089
2025-07-14,420.06659072008944
2025-07-21,514.1788031806376
2025-07-28,0
2025-08-04,0
2025-08-11,0
2025-08-18,0
2025-08-25,0
2025-09-01,0
2025-09-08,0
2025-09-15,0
2025-09-22,0
2025-09-29,0
2025-10-06,0
2025-10-13,0
2025-10-20,0
2025-10-27,0
2025-11-03,0
2025-11-10,0
2025-11-17,0
2025-11-24,0
2025-12-01,0
2025-12-08,0
2025-12-15,0
2025-12-22,0
2025-12-29,0
2026-01-05,0
